User_id,phone_number
35,7027274882
47,7093409379
6,7162398302
57,7172651507
38,7266468917
7,7356023726
59,7412887632
25,7436925705
10,7535250122
17,7540875785
15,7561975059
70,7587252819
13,7597062459
21,7602528568
43,7613539375
30,7676540240
63,7730231204
31,7748092064
46,7764038686
3,7799637396
20,7838566867
36,7899428828
64,7953816571
56,8000744339
67,8038675095
65,8082953254
4,8083170449
26,8416892793
53,8423375081
11,8433917589
44,8435798629
12,8492035721
32,8522161273
24,8568481034
8,8580344763
73,8625525296
66,8633914019
51,8682033518
60,8703389445
23,8712815587
50,8733182991
49,8783606254
14,8881154408
34,8975443724
27,8983024738
55,8992622782
71,8996163048
69,8996515895
62,9016850640
74,9040419660
22,9064271210
54,9096509252
41,9109138763
58,9181321062
45,9202638313
18,9242290302
5,9286744453
52,9336292560
48,9342899858
68,9388727759
37,9400431809
39,9404640585
16,9421850093
33,9510993320
9,9548410175
1,9554550149
2,9562248268
42,9692615659
29,9730716228
28,9786272031
61,9899795558
72,9928783390
40,9947298309
19,9990712575
